word,drm_list,cb_list,position,item,list_BAS,list_valence,list_arousal,valence,arousal,emotion
needle,needle,C,0,critical,NaN,4.64,4.23,3.97,4.36,negative
thread,needle,C,1,target,NaN,4.64,4.23,NaN,NaN,negative
pin,needle,C,2,target,NaN,4.64,4.23,NaN,NaN,negative
sewing,needle,C,3,target,NaN,4.64,4.23,NaN,NaN,negative
stitch,needle,C,4,target,NaN,4.64,4.23,NaN,NaN,negative
point,needle,C,5,target,NaN,4.64,4.23,NaN,NaN,negative
prick,needle,C,6,target,NaN,4.64,4.23,NaN,NaN,negative
haystack,needle,C,7,target,NaN,4.64,4.23,NaN,NaN,negative
thorn,needle,C,8,target,NaN,4.64,4.23,NaN,NaN,negative
injection,needle,C,9,target,NaN,4.64,4.23,NaN,NaN,negative
syringe,needle,C,10,target,NaN,4.64,4.23,NaN,NaN,negative
knitting,needle,C,11,related,NaN,4.64,4.23,NaN,NaN,negative
beach,beach,C,0,critical,0.16,NaN,NaN,7.21,5.1,positive
sun,beach,C,1,target,0.16,NaN,NaN,NaN,NaN,positive
ocean,beach,C,2,target,0.16,NaN,NaN,NaN,NaN,positive
water,beach,C,3,target,0.16,NaN,NaN,NaN,NaN,positive
towel,beach,C,4,target,0.16,NaN,NaN,NaN,NaN,positive
ball,beach,C,5,target,0.16,NaN,NaN,NaN,NaN,positive
sandcastle,beach,C,6,target,0.16,NaN,NaN,NaN,NaN,positive
surf,beach,C,7,target,0.16,NaN,NaN,NaN,NaN,positive
swim,beach,C,8,target,0.16,NaN,NaN,NaN,NaN,positive
fun,beach,C,9,target,0.16,NaN,NaN,NaN,NaN,positive
shore,beach,C,10,target,0.16,NaN,NaN,NaN,NaN,positive
coast,beach,C,11,related,0.16,NaN,NaN,NaN,NaN,positive
depression,depression,C,NaN,unrelated,NaN,2.44,5.2,NaN,NaN,negative
bird,bird,C,NaN,unrelated,NaN,6.83,3.75,6.83,3.75,positive